Imdb Title Id,Title,Year of Release,Date Published,Genre,Duration(min),Country,Language,Director,Production Company,Average Vote,Votes,User Reviews,Critic Reviews
tt0011415,The Love Flower,1920,8/22/1920,Drama,70,USA,English,D.W. Griffith,D.W. Griffith Productions,5.9,105,11,2
tt0011439,Il segno di Zorro,1920,6/23/1922,"Adventure, Romance, Western",79,USA,German,Fred Niblo,Douglas Fairbanks Pictures,7.1,"2,145.00",37,23
tt0011440,Markens grøde,1921,12/2/1921,Drama,107,Norway,German,Gunnar Sommerfeldt,Christiana Film,6.6,195,3,3
tt0011474,Un pulcino nella stoppa,1920,6/13/1920,"Adventure, Comedy, Romance",86,USA,English,Victor Fleming,Douglas Fairbanks Pictures,6.5,129,5,6
tt0011513,Nomads of the North,1920,9/26/1920,Drama,109,USA,German,David Hartford,James Oliver Curwood Productions Inc.,5.7,189,11,3
tt0011588,Pollyanna,1920,1/18/1920,"Family, Comedy, Drama",58,USA,English,Paul Powell,Mary Pickford Company,6.4,355,15,2
tt0011607,La vedova del pastore,1920,10/4/1920,"Comedy, Drama, Horror",94,Sweden,Danish,Carl Theodor Dreyer,Svensk Filmindustri (SF),7.1,"1,032.00",13,14
tt0011623,The Restless Sex,1920,9/12/1920,Drama,70,USA,English,"Leon D'Usseau, Robert Z. Leonard",Cosmopolitan Productions,6.1,149,2,13
tt0011641,Romeo e giulietta sulla neve,1920,3/12/1920,Comedy,45,Germany,German,Ernst Lubitsch,Ebner & Co.,6.5,153,5,1
tt0011647,The Round-Up,1920,10/10/1920,"Comedy, Western",70,USA,English,George Melford,Paramount Pictures,5.7,123,4,1
tt0011652,The Saphead,1920,9/20/1920,Comedy,77,USA,German,"Herbert Blaché, Winchell Smith",Metro Pictures Corporation,6.1,"1,402.00",22,17
tt0011679,Sex,1920,9/14/1920,Drama,87,USA,German,Fred Niblo,J. Parker Read Jr. Productions,6,265,8,13
tt0011716,Something to Think About,1920,10/17/1920,Drama,78,USA,German,Cecil B. DeMille,Famous Players-Lasky Corporation,5.2,575,3,13
tt0011723,"Die Spinnen, 2. Teil - Das Brillantenschiff",1920,2/2/1920,Adventure,104,Germany,German,Fritz Lang,Decla-Film-Gesellschaft Holz & Co.,6.4,763,11,18
tt0011741,Suds,1920,1/27/1920,"Comedy, Drama, Romance",75,USA,English,John Francis Dillon,Mary Pickford Company,6.3,210,9,1
tt0011742,Sumurum,1920,4/5/1905,"Adventure, Drama, Romance",84,Germany,German,Ernst Lubitsch,Projektions-AG Union (PAGU),6.1,625,12,14
tt0011753,Terror Island,1920,4/1/1920,Mystery,55,USA,English,James Cruze,Paramount Pictures,5.5,168,5,2
tt0011779,The Toll Gate,1920,4/15/1920,"Adventure, Drama, Western",73,USA,English,Lambert Hillyer,William S. Hart Productions,6.5,191,12,5
tt0011833,Von morgens bis mitternachts,1920,4/3/1905,"Drama, Thriller",65,Germany,German,Karl Heinz Martin,Ilag-Film,6.9,425,6,10
tt0011837,Das wandernde Bild,1920,9/26/1921,Romance,67,Germany,German,Fritz Lang,May-Film,6.1,356,7,7
tt0011841,Agonia sui ghiacci,1920,5/15/1926,"Drama, Romance",145,USA,German,D.W. Griffith,D.W. Griffith Productions,7.4,"4,961.00",3,30
tt0011865,Why Change Your Wife?,1920,4/11/1921,"Comedy, Drama",90,USA,English,Cecil B. DeMille,Paramount Pictures,6.7,"1,321.00",24,8
tt0011870,Within Our Gates,1920,1/12/1920,"Drama, Romance",79,USA,English,Oscar Micheaux,Micheaux Book & Film Company,6.3,"2,465.00",21,13
tt0011904,The Ace of Hearts,1921,4/14/1923,"Crime, Drama, Mystery",75,USA,English,Wallace Worsley,Goldwyn Pictures Corporation,6.8,"1,037.00",31,7
tt0011908,Adventures of Tarzan,1921,12/1/1921,"Action, Adventure",73,USA,English,"Robert F. Hill, Scott Sidney",Great Western Producing Company,6,101,1,3
tt0011909,"Fragilità, sei femmina!",1921,9/25/1921,"Comedy, Drama",117,USA,English,Cecil B. DeMille,Famous Players-Lasky Corporation,6.6,"1,208.00",19,3
tt0011948,Be My Wife,1921,11/6/1921,Comedy,55,USA,English,Max Linder,Max Linder Productions,6.9,364,4,8
tt0011960,Lo scoiattolo,1921,8/5/1921,"Comedy, Drama, Romance",79,Germany,English,Ernst Lubitsch,Projektions-AG Union (PAGU),7,"1,025.00",12,15
tt0011979,The Blot,1921,9/4/1921,"Drama, Romance",91,USA,English,Lois Weber,Lois Weber Productions,6.8,497,21,7
tt0012016,Buried Treasure,1921,4/10/1921,"Adventure, Fantasy, Romance",70,USA,English,George D. Baker,Cosmopolitan Productions,6.4,170,2,1
tt0012027,Camille,1921,9/26/1921,"Drama, Romance",72,USA,English,Ray C. Smallwood,Nazimova Productions,6.6,875,34,6
tt0012068,La commedia umana,1921,7/8/1921,"Drama, Romance",89,USA,English,Rex Ingram,Metro Pictures Corporation,6.8,415,16,3
tt0012122,Dream Street,1921,4/12/1921,"Comedy, Drama, Romance",102,USA,English,D.W. Griffith,D.W. Griffith Productions,5.5,133,7,2
tt0012125,Ducks and Drakes,1921,2/1/1921,"Comedy, Romance",58,USA,English,Maurice Campbell,Realart Pictures Corporation,6.4,116,3,13
tt0012134,Eldorado,1921,10/28/1921,Drama,100,France,French,Marcel L'Herbier,Gaumont Série Pax,7,362,3,4
tt0012136,Enchantment,1921,10/30/1921,Comedy,90,USA,English,Robert G. Vignola,Cosmopolitan Productions,6.4,268,6,1
tt0012187,Forbidden Fruit,1921,1/23/1921,Drama,87,USA,French,Cecil B. DeMille,Paramount Pictures,6.5,123,4,2
tt0012190,I quattro cavalieri dell'Apocalisse,1921,4/16/1923,"Drama, Romance, War",150,USA,French,Rex Ingram,Metro Pictures Corporation,7.2,"3,058.00",45,16
tt0012249,Amleto,1921,1/27/1921,Drama,131,Germany,German,"Svend Gade, Heinz Schall",Art-Film GmbH,7,382,5,8
tt0012281,Hintertreppe,1921,2/4/1922,Drama,50,Germany,German,"Leopold Jessner, Paul Leni",Gloria-Film GmbH,6.8,209,9,13
tt0012313,Das indische Grabmal zweiter Teil - Der Tiger von Eschnapur,1921,4/4/1905,"Adventure, Fantasy",100,Germany,German,Joe May,May-Film,6.7,286,4,9
tt0012314,Das indische Grabmal erster Teil - Die Sendung des Yoghi,1921,4/5/1905,"Adventure, Fantasy",120,Germany,German,Joe May,May-Film,6.6,239,5,9
tt0012334,Johan,1921,2/28/1921,Drama,84,Sweden,French,Mauritz Stiller,Svensk Filmindustri (SF),6.8,215,,1
tt0012349,Il monello,1921,11/26/1923,"Comedy, Drama, Family",68,USA,English,Charles Chaplin,Charles Chaplin Productions,8.3,"109,038.00",173,105
tt0012364,Il carrettiere della morte,1921,4/5/1905,"Drama, Fantasy, Horror",107,Sweden,Swedish,Victor Sjöström,Svensk Filmindustri (SF),8.1,,68,82
tt0012382,Leap Year,1924,1/11/1924,Comedy,56,USA,English,"James Cruze, Roscoe 'Fatty' Arbuckle",Paramount Pictures,6.1,268,9,1
tt0012397,Little Lord Fauntleroy,1921,9/15/1921,Drama,112,USA,English,"Alfred E. Green, Jack Pickford",Mary Pickford Company,6.7,276,7,4
tt0012408,The Love Light,1921,1/9/1921,Drama,89,USA,English,Frances Marion,Mary Pickford Company,6.5,338,12,2
tt0012465,Miss Lulu Bett,1921,11/1/1921,"Comedy, Drama",71,USA,French,William C. de Mille,Paramount Pictures,7,311,11,2
tt0012486,My Boy,1921,12/1/1921,"Comedy, Drama",55,USA,English,"Albert Austin, Victor Heerman",Jackie Coogan Productions,6.2,237,8,13
tt0012494,Destino,1921,4/8/1905,"Drama, Fantasy, Thriller",97,Germany,German,Fritz Lang,Decla-Bioscop AG,7.7,"5,136.00",34,43
tt0012513,The Nut,1921,3/6/1921,"Action, Comedy, Romance",74,USA,English,Theodore Reed,Douglas Fairbanks Pictures,6.5,209,9,2
tt0012532,Le due orfanelle,1921,4/5/1905,"Drama, History, Romance",150,USA,English,D.W. Griffith,D.W. Griffith Productions,7.4,"4,678.00",40,24
tt0012538,Outside the Law,1920,1/6/1921,"Crime, Romance, Thriller",75,USA,English,Tod Browning,Universal Film Manufacturing Company,6.5,469,17,9
tt0012631,Rojô no reikion,1921,4/8/1921,Drama,91,Japan,Japanese,Minoru Murata,Shôchiku Kinema Kenkyujo,6.7,130,2,6
tt0012642,A Sailor-Made Man,1921,12/25/1921,Comedy,47,USA,English,Fred C. Newmeyer,Hal Roach Studios,6.9,941,13,5
tt0012645,Sappho,1921,1/2/1922,Drama,82,Germany,French,Dimitri Buchowetzki,Projektions-AG Union (PAGU),6.8,123,4,2
tt0012650,Scherben,1921,5/27/1921,Drama,50,Germany,German,Lupu Pick,Rex-Film GmbH,6.4,217,5,3
tt0012651,Il castello di Vogelod,1921,4/7/1921,"Crime, Drama, Horror",75,Germany,German,F.W. Murnau,Uco-Film GmbH,6.2,"1,391.00",20,34
tt0012675,Lo sceicco,1921,11/20/1921,"Adventure, Drama, Romance",86,USA,English,George Melford,Paramount Pictures,6.4,"3,055.00",31,23
tt0012699,The Sky Pilot,1921,4/17/1921,Drama,77,USA,French,King Vidor,Cathrine Curtis Corporation,5.8,109,6,2
tt0012745,La terre,1921,7/15/1926,Drama,97,France,French,André Antoine,Pathé Frères,6.9,135,7,4
tt0012752,The Three Musketeers,1921,8/28/1921,"Action, Adventure, Romance",119,USA,English,Fred Niblo,Douglas Fairbanks Pictures,6.9,846,15,13
tt0012755,Through the Back Door,1921,5/5/1921,"Comedy, Drama",89,USA,English,"Alfred E. Green, Jack Pickford",Mary Pickford Company,6.8,163,9,13
tt0012763,La pazienza di Davide,1921,12/31/1921,Drama,99,USA,French,Henry King,Inspiration Pictures,6.8,"1,722.00",15,7
tt0012769,Too Wise Wives,1921,5/22/1921,Drama,80,USA,English,Lois Weber,Lois Weber Productions,5.9,133,8,13
tt0012806,Vier um die Frau,1921,2/3/1921,Drama,52,Germany,German,Fritz Lang,Decla-Bioscop AG,6.2,323,4,5
tt0012928,Beauty's Worth,1922,5/14/1922,"Drama, Romance",112,USA,English,Robert G. Vignola,Cosmopolitan Productions,6.1,766,5,2
tt0012938,L'età di amare,1922,5/7/1922,"Drama, Romance",80,USA,French,Sam Wood,Famous Players-Lasky Corporation,6.7,"2,216.00",52,16
tt0012952,Sangue e arena,1922,8/5/1922,"Drama, Romance, Sport",80,USA,French,"Fred Niblo, Dorothy Arzner",Paramount Pictures,6.4,"1,234.00",20,13
tt0012973,La terra che brucia,1922,4/24/1922,Drama,98,Germany,French,F.W. Murnau,Deulig Film,6.9,566,13,4
